timestamp,quantity_produced,avg_processing_time,avg_waiting_time,defect_volume,avg_defect_rate
2023-05-25 04:18:28.800000,90,2204,2408,1,0.027027028
2023-05-25 04:18:33.400000,91,2200,2408,1,0.027027028
2023-05-25 04:18:41.600000,92,2195,2448,1,0.027027028
2023-05-25 04:18:46.400000,93,2191,2449,1,0.027027028
2023-05-25 04:18:50.600000,94,2187,2445,1,0.027027028
2023-05-25 04:18:54.800000,95,2183,2440,1,0.027027028
2023-05-25 04:18:59.200000,96,2179,2437,1,0.027027028
2023-05-25 04:19:06.800000,97,2175,2468,1,0.027027028
2023-05-25 04:19:10.800000,98,2171,2461,1,0.027027028
2023-05-25 04:19:15.400000,99,2167,2461,1,0.027027028
2023-05-25 04:19:19.800000,100,2164,2458,1,0.027027028
2023-05-25 04:19:24.800000,101,2160,2461,1,0.027027028
2023-05-25 04:19:29.800000,102,2156,2465,1,0.027027028
2023-05-25 04:19:34.400000,103,2153,2464,1,0.027027028
2023-05-25 04:19:41.400000,104,2150,2487,1,0.027027028
2023-05-25 04:19:47.800000,105,2146,2503,1,0.027027028
2023-05-25 04:19:52.200000,106,2143,2500,1,0.027027028
2023-05-25 04:20:00.600000,107,2140,2535,1,0.027027028
2023-05-25 04:20:04,108,2137,2523,1,0.027027028
2023-05-25 04:20:07.600000,109,2133,2512,1,0.027027028
2023-05-25 04:20:16,110,2132,2544,1,0.027027028
2023-05-25 04:20:20.200000,111,2129,2539,1,0.027027028
2023-05-25 04:20:24.200000,112,2128,2531,1,0.027027028
2023-05-25 04:20:30.200000,113,2129,2539,1,0.027027028
2023-05-25 04:22:35.200000,114,2126,3603,1,0.027027028
2023-05-25 04:22:39,115,2123,3585,1,0.027027028
2023-05-25 04:22:47.400000,116,2120,3608,1,0.027027028
2023-05-25 04:22:51.800000,117,2117,3596,1,0.027027028
2023-05-25 04:22:56.400000,118,2115,3586,1,0.027027028
2023-05-25 04:23:01.600000,119,2112,3581,1,0.027027028
2023-05-25 04:23:07.600000,120,2110,3583,1,0.027027028
2023-05-25 04:23:11.600000,121,2107,3568,1,0.027027028
2023-05-25 04:23:15.800000,122,2104,3555,1,0.027027028
2023-05-25 04:23:22,123,2102,3559,1,0.027027028
2023-05-25 04:23:27,124,2100,3552,1,0.027027028
2023-05-25 04:23:32.400000,125,2096,3551,1,0.027027028
2023-05-25 04:23:36.200000,126,2093,3535,1,0.027027028
2023-05-25 04:23:40.200000,127,2091,3522,1,0.027027028
2023-05-25 04:23:44.800000,128,2089,3513,1,0.027027028
2023-05-25 04:23:51.400000,129,2086,3520,1,0.027027028
2023-05-25 04:23:57.600000,130,2086,3522,1,0.027027028
2023-05-25 04:24:04,131,2083,3527,1,0.027027028
2023-05-25 04:24:07.800000,132,2081,3512,1,0.027027028
2023-05-25 04:24:11.400000,133,2079,3496,1,0.027027028
2023-05-25 04:24:15.200000,134,2077,3482,1,0.027027028
2023-05-25 04:24:18.800000,135,2075,3467,1,0.027027028
2023-05-25 04:24:23.800000,136,2073,3462,1,0.027027028
2023-05-25 04:24:28.200000,137,2071,3452,1,0.027027028
2023-05-25 04:24:32.400000,138,2069,3442,1,0.027027028
2023-05-25 04:24:36.200000,139,2067,3428,1,0.027027028
2023-05-25 04:24:40.400000,140,2065,3418,1,0.027027028
2023-05-25 04:24:52.200000,141,2063,3462,1,0.027027028
2023-05-25 04:24:56,142,2061,3449,1,0.027027028
2023-05-25 04:25:00.600000,143,2060,3442,1,0.027027028
2023-05-25 04:25:05.200000,144,2058,3434,1,0.027027028
2023-05-25 04:25:09.400000,145,2056,3424,1,0.027027028
2023-05-25 04:25:16.200000,146,2054,3433,1,0.027027028
2023-05-25 04:25:20.400000,147,2053,3423,1,0.027027028
2023-05-25 04:25:26,148,2051,3423,1,0.027027028
2023-05-25 04:25:30,149,2049,3412,1,0.027027028
2023-05-25 04:25:34,150,2048,3401,1,0.027027028
2023-05-25 04:25:38.600000,151,2046,3394,1,0.027027028
2023-05-25 04:25:42.800000,152,2044,3385,1,0.027027028
2023-05-25 04:25:46.600000,153,2043,3373,1,0.027027028
2023-05-25 04:25:50.600000,154,2041,3363,1,0.027027028
2023-05-25 04:25:57.200000,155,2040,3370,1,0.027027028
2023-05-25 04:26:04.400000,156,2038,3380,1,0.027027028
2023-05-25 04:26:08.200000,157,2036,3369,1,0.027027028
2023-05-25 04:26:12.200000,158,2036,3357,1,0.027027028
